name,play_for_free,top_seller,deal,history,discount,price,rating,ends in,started,release,lowest_price
Antkeep,no,no,Introductory Offer,new historical low,0.1,6.29,0.6408,,,2023-07-01,6.29
Math & Topology,no,no,Week Long Deal,,0.1,6.29,0.6408,,,2023-06-01,
○ △ □ -circle triangle square-,no,no,Introductory Offer,new historical low,0.1,9.44,0.6408,,,2023-07-01,9.44
SCALEPLANET,no,no,,not the lowest price,0.9,8.49,0.6406999999999999,,,2022-05-01,4.74
Dark Dead,no,no,,,0.72,0.97,0.6406999999999999,,,2023-04-01,
My Fantastic Ranch: Unicorns & Dragons,no,no,Week Long Deal,,0.65,31.14,0.6406999999999999,,,2022-11-01,
3D Hentai SeaBattle,no,no,,not the lowest price,0.2,5.59,0.6406999999999999,,,2021-12-01,2.69
Keep Rollin!,no,no,Week Long Deal,not the lowest price,0.9,3.29,0.6406000000000001,,,2017-11-01,1.12
RX squad,no,no,,,0.85,0.64,0.6406000000000001,,,2016-07-01,
Vambrace: Cold Soul,no,no,,,0.9,4.74,0.6404000000000001,,,2019-05-01,
HIVE: Altenum Wars,no,no,,not the lowest price,0.8,4.13,0.6403,,,2018-07-01,2.06
Mystic Melee,no,no,,not the lowest price,0.75,2.17,0.6395000000000001,,,2017-09-01,1.3
Ratty Catty,no,no,,not the lowest price,0.7,8.69,0.6394,,,2017-07-01,6.99
FIA European Truck Racing Championship,no,no,Week Long Deal,,0.8,13.99,0.6392,,,2019-07-01,
Sakura Alien,no,no,Week Long Deal,not the lowest price,0.75,5.17,0.6391,,,2022-01-01,4.13
Barbershop Simulator VR,no,no,Week Long Deal,not the lowest price,0.33,25.45,0.6391,,,2022-10-01,18.99
Blood Waves,no,no,Week Long Deal,not the lowest price,0.9,3.29,0.639,,,2018-05-01,2.06
Candlehead,no,no,Week Long Deal,new historical low,0.9,1.69,0.6389,,,2022-10-01,1.69
Timothy vs the Aliens,no,no,,,0.85,4.94,0.6389,,,2021-07-01,
Weapon and Armor: Mahjong,no,no,Week Long Deal,not the lowest price,0.8,1.39,0.6389,,,2017-09-01,0.85
Case Opener Guns,no,no,Week Long Deal,not the lowest price,0.8,1.39,0.6389,,,2018-11-01,0.89
Memory Novel - Lesbian Romance,no,no,,not the lowest price,0.8,1.39,0.6389,,,2022-01-01,1.12
Crab Digger,no,no,,not the lowest price,0.79,6.92,0.6389,,,2022-12-01,3.62
Gunslugs 3:Rogue Tactics,no,no,,not the lowest price,0.5,14.49,0.6389,,,2019-08-01,8.69
Dummy Falls,no,no,Week Long Deal,not the lowest price,0.5,8.49,0.6389,,,2022-02-01,1.62
The Enthralling Realms: The Blacksmith's Revenge,no,no,,not the lowest price,0.2,8.71,0.6389,,,2020-10-01,5.44
3D Hentai Puzzle 2,no,no,,not the lowest price,0.15,5.94,0.6389,,,2021-06-01,2.69
Tanks Logic,no,no,,not the lowest price,0.93,58.98,0.6388,,,2022-11-01,8.21
WhiTaers,no,no,Week Long Deal,,0.7,0.68,0.6388,,,2019-01-01,
Palace of sky,no,no,Week Long Deal,not the lowest price,0.5,3.24,0.6388,,,2020-01-01,2.59
Girls Gym,no,no,,,0.5,1.14,0.6388,,,2021-10-01,
PABG: PLAYER ANIME BATTLEGROUNDS,no,no,,not the lowest price,0.7,1.34,0.6383,,,2021-12-01,1.12
A Tale of Caos: Overture,no,no,Week Long Deal,not the lowest price,0.5,16.49,0.6383,,,2016-12-01,1.79
Pet Chan,no,no,,,0.25,1.71,0.6383,,,2019-12-01,
Queen of Seas 2,no,no,,,0.71,0.66,0.6381,,,2018-06-01,
RICO,no,no,,,0.9,3.79,0.638,,,2019-03-01,
Tom Clancy's Ghost Recon® Breakpoint,no,no,,,0.8,35.8,0.6379,,,2023-01-01,
琉隐,no,no,Week Long Deal,not the lowest price,0.3,13.01,0.6378,,,2021-12-01,10.22
Classic Card Games 3D,no,no,,not the lowest price,0.5,18.99,0.6377,,,2018-11-01,15.19
Might & Magic: Clash of Heroes - Definitive Edition,no,no,,new historical low,0.15,46.74,0.6377,,,2023-07-01,46.74
История бомжа,no,no,,,0.5,1.14,0.6376,,,2020-08-01,
Outbreak: The New Nightmare,no,no,,not the lowest price,0.75,6.72,0.6367,,,2018-01-01,4.03
Winged Sakura: Endless Dream,no,no,Week Long Deal,not the lowest price,0.75,8.24,0.6365,,,2017-10-01,5.17
Snow Jewels,no,no,,not the lowest price,0.2,8.71,0.6365,,,2019-05-01,1.25
Assassin’s Creed® Chronicles: India,no,no,,not the lowest price,0.7,8.99,0.6363,,,2016-01-01,6.79
The Dark Side of the Moon: An Interactive FMV Thriller,no,no,Week Long Deal,not the lowest price,0.5,14.99,0.6362,,,2021-03-01,1.14
INFERNIUM,no,no,Week Long Deal,not the lowest price,0.65,20.29,0.6361,,,2018-04-01,4.74
Somerville,no,no,,not the lowest price,0.54,73.4,0.636,,,2022-11-01,44.39
Coins Collector Sport Car,no,no,,not the lowest price,0.9,12.19,0.6358,,,2022-08-01,0.88
Hindenburg VR,no,no,,not the lowest price,0.5,10.34,0.6358,,,2016-10-01,7.79
Samurai Chess,no,no,Week Long Deal,not the lowest price,0.45,2.46,0.6358,,,2021-04-01,2.24
Race,no,no,,,0.71,0.66,0.6357,,,2018-01-01,
Five Nights At Furry's,no,no,,,0.69,2.69,0.6349,,,2022-11-01,
ZigZagging Ski,no,no,,not the lowest price,0.9,3.29,0.6345000000000001,,,2022-12-01,0.97
Banana Yetti,no,no,,,0.89,9.78,0.6345000000000001,,,2023-05-01,
Buttle Tank,no,no,Week Long Deal,,0.87,0.84,0.6345000000000001,,,2018-12-01,
Strategist,no,no,Week Long Deal,not the lowest price,0.8,2.09,0.6345000000000001,,,2018-08-01,1.1
Woodboy,no,no,Week Long Deal,not the lowest price,0.8,3.31,0.6345000000000001,,,2019-05-01,1.65
Terra Ventura,no,no,,,0.75,10.49,0.6345000000000001,,,2022-09-01,
Danko and the mystery of the jungle,no,no,Week Long Deal,,0.71,0.66,0.6345000000000001,,,2020-03-01,
Dragon Chase,no,no,,,0.7,0.68,0.6345000000000001,,,2019-01-01,
Guns And Waifus,no,no,,not the lowest price,0.7,1.34,0.6345000000000001,,,2020-10-01,1.12
Lost Souls,no,no,Week Long Deal,,0.6,5.79,0.6345000000000001,,,2022-03-01,
Gimel Dimension,no,no,,not the lowest price,0.52,3.34,0.6345000000000001,,,2018-09-01,0.97
Color Path,no,no,,not the lowest price,0.5,3.49,0.6345000000000001,,,2018-05-01,1.37
Let's Learn Korean! Vocabulary,no,no,,not the lowest price,0.5,5.44,0.6345000000000001,,,2020-04-01,4.35
Goblin Down,no,no,Introductory Offer,new historical low,0.1,15.29,0.6345000000000001,,,2023-07-01,15.29
Book of Shadows,no,no,,not the lowest price,0.8,1.73,0.6344,,,2020-11-01,1.7
克苏鲁异闻录,no,no,Week Long Deal,,0.8,5.37,0.6343,,,2019-08-01,
Planet B24,no,no,,,0.5,1.14,0.6342,,,2021-07-01,
Nazi 2,no,no,Week Long Deal,,0.9,0.86,0.6341,,,2018-07-01,
Zen Chess: Mate in Four,no,no,Week Long Deal,not the lowest price,0.45,1.25,0.6341,,,2019-04-01,1.14
Happy Engine,no,no,,,0.25,1.71,0.6341,,,2020-01-01,
OVERLORD: ESCAPE FROM NAZARICK,no,no,Week Long Deal,,0.5,28.99,0.6339,,,2022-06-01,
The Last Oricru,no,no,,,0.7,59.7,0.6338,,,2022-10-01,
Zodiac fantasy,no,no,Week Long Deal,not the lowest price,0.4,8.09,0.6333,,,2022-07-01,5.39
Call of Duty®: Advanced Warfare - Gold Edition,no,no,,not the lowest price,0.67,36.29,0.6329,,,2014-11-01,27.49
Heroine Anthem Zero -Sacrifice-,no,no,,not the lowest price,0.35,13.44,0.6322,,,2016-12-01,5.17
My Haunted Doll,no,no,,not the lowest price,0.9,1.37,0.6321,,,2019-11-01,1.25
Robots - Invaders,no,no,,,0.7,10.73,0.6321,,,2023-04-01,
sWORD MASTER,no,no,,,0.5,1.14,0.6321,,,2017-12-01,
Сrime Сity,no,no,,,0.5,1.14,0.6321,,,2022-04-01,
Fateholders of Tetsoidea,no,no,Week Long Deal,not the lowest price,0.33,2.33,0.6321,,,2017-07-01,1.14
The Far Kingdoms: Sacred Grove Solitaire,no,no,,not the lowest price,0.2,8.71,0.6321,,,2019-03-01,2.72
Crystals of Time,no,no,,new historical low,0.72,0.97,0.6319,,,2014-06-01,0.97
Gift Girl,no,no,,,0.6,1.79,0.6319,,,2020-03-01,
Happy toys,no,no,,,0.6,1.79,0.6317,,,2018-12-01,
Farmland Realm,no,no,,,0.9,1.08,0.6311,,,2022-07-01,
Call of Duty®: Vanguard,no,no,,,0.5,124.5,0.6311,,,2023-03-01,
Let's Go Camping,no,no,,not the lowest price,0.9,3.84,0.6306,,,2022-09-01,1.37
Off-Road Farming,no,no,,not the lowest price,0.75,14.99,0.6306,,,2022-02-01,4.55
My Sweet Ants!,no,no,,not the lowest price,0.7,14.24,0.6306,,,2021-04-01,1.57
Paze Knight Ellen and the Dungeon town Sodom,no,no,,,0.6,23.99,0.6306,,,2023-04-01,
PUB FASCINATION,no,no,Week Long Deal,,0.5,2.5,0.6306,,,2022-11-01,
Nifa's First Mission,no,no,Introductory Offer,new historical low,0.1,29.69,0.6306,,,2023-07-01,29.69
Hentai Vs Orcs,no,no,Week Long Deal,not the lowest price,0.5,1.14,0.6303,,,2020-11-01,0.68
Most Correct Football Simulator,no,no,,,0.72,0.97,0.63,,,2019-05-01,
Color by Number - Pixel Draw,no,no,Week Long Deal,not the lowest price,0.8,1.39,0.6297999999999999,,,2018-08-01,0.89
Crazy Race,no,no,,,0.5,1.14,0.6297999999999999,,,2021-04-01,
PixelGround,no,no,Week Long Deal,not the lowest price,0.3,7.62,0.6297999999999999,,,2022-08-01,5.44
Starfighter Arduxim,no,no,Week Long Deal,not the lowest price,0.25,6.51,0.6297999999999999,,,2016-10-01,4.19
Cloak & Dagger: Shadow Operations,no,no,,,0.25,12.74,0.6297999999999999,,,2023-03-01,
The Uncertain: Light At The End,no,no,,,0.85,3.1,0.6297,,,2020-10-01,
Man in gravity,no,no,Week Long Deal,not the lowest price,0.9,4.74,0.6293,,,2020-08-01,1.14
Hot Summer,no,no,,not the lowest price,0.7,14.24,0.6293,,,2021-06-01,1.57
Warehouse Simulator: Forklift Driver,no,no,,,0.9,2.27,0.6292,,,2023-02-01,
Dragon Boar and Lady Rabbit,no,no,Week Long Deal,,0.71,0.66,0.6292,,,2017-12-01,
HENTAI CLIMBER,no,no,,,0.68,0.72,0.6292,,,2019-11-01,
Dawn of Fear,no,no,,,0.85,4.34,0.6291,,,2020-06-01,
Mermaid Adventures: The Frozen Time,no,no,,not the lowest price,0.53,11.7,0.6291,,,2018-02-01,2.47
The Adventures of Perseus,no,no,,not the lowest price,0.1,9.8,0.629,,,2019-02-01,4.35
Three Days,no,no,Week Long Deal,,0.87,0.84,0.6289,,,2017-05-01,
Ruination,no,no,Week Long Deal,,0.5,1.14,0.6289,,,2019-03-01,
Dark Forest: The Horror,no,no,,not the lowest price,0.9,2.27,0.6288,,,2021-11-01,1.19
Path to Warband,no,no,,,0.1,42.29,0.6288,,,2023-05-01,
Knockout Party,no,no,,,0.9,1.44,0.6284000000000001,,,2020-09-01,
Amazing Princess Sarah,no,no,Week Long Deal,not the lowest price,0.75,2.72,0.6284000000000001,,,2014-08-01,2.62
Project AURA,no,no,,,0.8,5.79,0.6278,,,2018-04-01,
Monster Truck Championship,no,no,Week Long Deal,,0.75,29.74,0.6278,,,2020-10-01,
艾斯菲尔的谎言,no,no,,,0.9,1.08,0.6271,,,2020-12-01,
Spheria's Familiar,no,no,,not the lowest price,0.6,21.04,0.6264,,,2021-04-01,11.59
Xuan-Yuan Sword: Mists Beyond the Mountains,no,no,Introductory Offer,new historical low,0.15,37.81,0.6258,,,2023-07-01,37.81
Solitaire Halloween Story,no,no,Week Long Deal,,0.9,1.08,0.6251,,,2020-11-01,
Fairytale Mosaics Cinderella 2,no,no,Week Long Deal,,0.9,1.08,0.6251,,,2021-01-01,
Moonsters,no,no,Week Long Deal,,0.9,2.89,0.6251,,,2021-11-01,
Royal Roads 3 Portal,no,no,Week Long Deal,,0.9,2.06,0.6251,,,2022-08-01,
Plunger Knight - Washers of Truth,no,no,,new historical low,0.8,0.89,0.6251,,,2019-05-01,0.89
Snowman Saves Christmas,no,no,,not the lowest price,0.8,2.89,0.6251,,,2020-12-01,1.44
Vylan,no,no,Week Long Deal,not the lowest price,0.8,2.17,0.6251,,,2021-04-01,1.08
Color by Number - Monster Heroes,no,no,Week Long Deal,not the lowest price,0.8,1.39,0.6251,,,2021-12-01,0.89
Jigsaw Novel - Summer Threesome,no,no,,not the lowest price,0.8,1.39,0.6251,,,2022-03-01,1.12
Neon Invaders,no,no,,,0.8,0.89,0.6251,,,2022-06-01,
The Iron Union,no,no,Week Long Deal,not the lowest price,0.8,3.39,0.6251,,,2022-12-01,1.69
Starexcess,no,no,,,0.75,5.87,0.6251,,,2019-11-01,
Jigsaw Puzzle - Futanari Roomate,no,no,,,0.75,1.74,0.6251,,,2022-07-01,
Ultimate Demolition,no,no,,,0.68,0.66,0.6251,,,2021-04-01,
Towerland,no,no,,not the lowest price,0.65,4.33,0.6251,,,2022-03-01,3.71
"Oh So Lucky, Doctor!",no,no,Week Long Deal,,0.5,2.24,0.6251,,,2020-03-01,
The Night of Joe,no,no,Week Long Deal,not the lowest price,0.5,5.44,0.6251,,,2020-10-01,2.17
Double Time,no,no,Week Long Deal,not the lowest price,0.5,7.24,0.6251,,,2022-01-01,1.79
Tiny Robo Puzzles,no,no,Week Long Deal,not the lowest price,0.5,1.14,0.6251,,,2022-06-01,0.68
Simple Increment,no,no,Week Long Deal,not the lowest price,0.5,5.24,0.6251,,,2023-03-01,3.14
